S.NO,Place Name,Type,Location
1,Meenakshi Amman Temple,Temple,Tamil Nadu
2,Rameshwaram,Temple,Tamil Nadu
3,Rameshwaram,Sea,Tamil Nadu
4,Brihadeeswara Temple,Temple,Tamil Nadu
5,Marina Beach,Beach,Tamil Nadu
6,Shore Temple,Temple,Tamil Nadu
7,Kodaikanal Lake,Lake,Tamil Nadu
8,Anamalai Tiger Reserve,Wildlife sanctuary,Tamil Nadu
9,Nilgiri Mountain Railway Line,Mountain,Tamil Nadu
10,Nataraja Temple,Temple,Tamil Nadu
11,Kashi Vishwanath,Temple,Uttar Pradesh
12,Sankat Mochan Temple,Temple,Uttar Pradesh
13,Ganga Aarti,River,Uttar Pradesh
14,Taj Mahal,Monument,Uttar Pradesh
15,Agra Fort,Monument,Uttar Pradesh
16,Dudhwa National Park,Wildlife sanctuary,Uttar Pradesh
17,Jhansi Fort,Monument,Uttar Pradesh
18,Okhla Bird Sanctuary,Wildlife sanctuary,Uttar Pradesh
19,Anand Bhawan Museum,Museum,Uttar Pradesh
20,Jog Falls,Waterfalls,Karnataka
21,Bandipur National Park,Wildlife sanctuary,Karnataka
22,Nagarhole National Park,Wildlife sanctuary,Karnataka
23,Bannerghatta National Park,Wildlife sanctuary,Karnataka
24,Rock cut temple,Temple,Karnataka
25,Hoysala temple,Temple,Karnataka
26,Shivanasamudra Falls,Waterfalls,Karnataka
27,Karwar,Beach,Karnataka
28,Malpe,Beach,Karnataka
29,Murudeshwar,Beach,Karnataka
30,Gokarna,Beach,Karnataka
31,Mangalore,Beach,Karnataka
32,Karakala,Temple,Karnataka
33,Mudabidri,Temple,Karnataka
34,Shravanabelagola ,Temple,Karnataka
35,Sringeri temple,Temple,Karnataka
36,Kollur Mookambika temple,Temple,Karnataka
37,Dharmasthala temple,Temple,Karnataka
38,Kukke Subramanya temple,Temple,Karnataka
39,Tirumala Tirupati Temple,Temple,Andhra Pradesh
40,Simhachalam Temple,Temple,Andhra Pradesh
41,Annavaram Temple,Temple,Andhra Pradesh
42,Srikalahasti,Temple,Andhra Pradesh
43,Kanaka Durga Temple,Temple,Andhra Pradesh
44,Nagarjunakonda,Temple,Andhra Pradesh
45,Amaravati ,Temple,Andhra Pradesh
46,Horsley Hills,Mountain,Andhra Pradesh
47,Papi Hills,Mountain,Andhra Pradesh
48,Araku Valley,Mountain,Andhra Pradesh
49,Belum Caves,Caves,Andhra Pradesh
50,Undavalli Caves,Caves,Andhra Pradesh
51,Borra Caves,Caves,Andhra Pradesh
52,Gateway of India,Monument,Maharastra
53,Chhatrapati Shivaji Maharaj Terminus ,Monument,Maharastra
54,Shree Siddhivinayak Ganpati Temple,Temple,Maharastra
55,Bhaja Caves,Caves,Maharastra
56,Ajanta Caves,Caves,Maharastra
57,Elephanta Caves,Caves,Maharastra
58,Tadoba-Andhari National Park,Wildlife sanctuary,Maharastra
59,Sanjay Gandhi National Park,Wildlife sanctuary,Maharastra
60,Shaniwar Wada,Monument,Maharastra
61,Lohagad Fort,Monument,Maharastra
62,Sinhagad Fort,Monument,Maharastra
63,Kanheri Caves,Caves,Maharastra
64,Lonar Lake,Lake,Maharastra
65,Aga Khan Palace,Monument,Maharastra
66,India Gate,Monument,Delhi
67,National War Memorial,Monument,Delhi
68,Akshardham Temple,Temple,Delhi
69,Rashtrapati Bhawan,Monument,Delhi
70,Red Fort,Monument,Delhi
71,Qutub Minar,Monument,Delhi
72,Lotus Temple,Temple,Delhi
73,National Rail Museum,Museum,Delhi
74,National Zoological Park,Wildlife sanctuary,Delhi
75,National Gallery of Modern Art,Museum,Delhi
76,Victoria Memorial,Monument,West Bengal
77,Sundarban National Park,Wildlife sanctuary,West Bengal
78,Indian Museum,Museum,West Bengal
79,Howrah Bridge,Bridge,West Bengal
80,Dakshineswar Kali Temple,Temple,West Bengal
81,Jaldapara National Park,Wildlife sanctuary,West Bengal
82,Gorumara National Park,Wildlife sanctuary,West Bengal
83,"Zoological Park, Darjeeling",Wildlife sanctuary,West Bengal
84,Marble Palace,Monument,West Bengal
85,Ranthambore National Park,Wildlife sanctuary,Rajasthan
86,Amber Palace,Monument,Rajasthan
87,Hawa Mahal,Monument,Rajasthan
88,"City Palace, Jaipur",Monument,Rajasthan
89,"Umaid Bhawan Palace, Jodhpur",Monument,Rajasthan
90,"Mehrangarh Fort Museum and Trust, Jodhpur",Museum,Rajasthan
91,Jaisalmer Fort,Monument,Rajasthan
92,Sariska Tiger Reserve,Wildlife sanctuary,Rajasthan
93,Chittorgarh Fort,Monument,Rajasthan
94,Bekal Fort,Monument,Kerala
95,Bekal Beach,Beach,Kerala
96,Chottanikkara Bhagavathy Temple,Temple,Kerala
97,Guruvayur Temple,Temple,Kerala
98,Shree Padmanabhaswamy Temple,Temple,Kerala
99,Sakthan Thampuran Palace,Monument,Kerala
100,Mullaperiyar Dam,Dam,Kerala
101,Aralam Wildlife Sanctuary,Wildlife sanctuary,Kerala
102,Attukad Waterfalls,Waterfalls,Kerala
103,"Sree Krishna Swamy Temple, Ambalapuzha",Temple,Kerala
104,"Lakkam Waterfalls, Munnar",Waterfalls,Kerala
105,Thusharagiri Waterfalls,Waterfalls,Kerala
106,Pookode Lake,Lake,Kerala
107,Brahmaputra River,River,Assam
108,Kamakhya Temple,Temple,Assam
109,Kaziranga National Park ,Wildlife sanctuary,Assam
110,Ujjayanta Palace,Monument,Tripura
111,Tripura Sundari Temple,Temple,Tripura
